# runID	0
# mode	-1
# Nevt	10000000
# time_real_s	1910.01
cell	cellName	TrEntering	Population	AvTrWgt	SL_mean_mm	SL_stderr_mm	SLW_mean_mm	SLW_stderr_mm
0	cell_00	4.1175e+06	1.30497e+07	1	78.161	0.0404361	78.161	0.0404361
1	cell_01	1.4875e+07	1.60793e+07	1	248.906	0.0639456	248.906	0.0639456
2	cell_02	1.33542e+07	1.07641e+07	1	231.283	0.0796551	231.283	0.0796551
3	cell_03	9.16445e+06	6.78064e+06	1	157.879	0.0730723	157.879	0.0730723
4	cell_04	5.49684e+06	3.92066e+06	1	93.9769	0.0606409	93.9769	0.0606409
5	cell_05	3.04143e+06	2.12304e+06	1	51.6092	0.0468509	51.6092	0.0468509
6	cell_06	1.59524e+06	1.09783e+06	1	26.9351	0.0345891	26.9351	0.0345891
7	cell_07	804632	547865	1	13.5369	0.0247699	13.5369	0.0247699
8	cell_08	395329	266961	1	6.63059	0.0174017	6.63059	0.0174017
9	cell_09	189780	127395	1	3.15558	0.0119733	3.15558	0.0119733
10	cell_10	89559	59740	1	1.49135	0.00824536	1.49135	0.00824536
11	cell_11	41536	27616	1	0.690834	0.00558795	0.690834	0.00558795
12	cell_12	19057	12721	1	0.316892	0.00378048	0.316892	0.00378048
13	cell_13	8653	5744	1	0.143512	0.00254487	0.143512	0.00254487
14	cell_14	3861	2572	1	0.0627505	0.00166474	0.0627505	0.00166474
15	cell_15	1673	1137	1	0.0272214	0.00109325	0.0272214	0.00109325
16	cell_16	767	513	1	0.012765	0.000755282	0.012765	0.000755282
17	cell_17	363	237	1	0.00616583	0.000544776	0.00616583	0.000544776
18	cell_18	147	117	1	0.00225324	0.000269256	0.00225324	0.000269256
19	cell_19	49	49	1	0.000750722	0.000127052	0.000750722	0.000127052
